"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3313","User can add a note","chromium","2026-09-16","passed","2026-09-16","","ui/add-note-ui.spec.ts","",""
"","2235","User can login","chromium","2026-09-16","passed","2026-09-16","","ui/login-ui.spec.ts","",""
