"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30683","User can login with a mocked successful API response","chromium","2026-09-25","broken","2026-09-25","","api/login-api-mock.spec.ts","",""
"","30008","Note can be added with API","chromium","2026-09-25","broken","2026-09-25","","api/add-note-api.spec.ts","",""
"","30221","User cannot login with a mocked failed API response","chromium","2026-09-25","broken","2026-09-25","","api/login-api-mock.spec.ts","",""
"","30009","Update profile via API","chromium","2026-09-25","broken","2026-09-25","","api/update-profile.spec.ts","",""
"","23629","date should be properly entered","chromium","2026-09-25","passed","2026-09-25","","e2e/date-ui.spec.ts","",""
"","17810","User can add a note","chromium","2026-09-25","failed","2026-09-25","","e2e/add-note-ui.spec.ts","",""
"","26096","User can login","chromium","2026-09-25","failed","2026-09-25","","e2e/login-ui.spec.ts","",""
